label,email
0,"Nachricht von Lorenz M. Wäger:


Hier in Finsterhennen hat das Problem für Realschule->Gymnasium einen einfache=
n=20
Namen: G8. Der Zusatzstoff wurde vor allem in die ersten Schuljahre=20
gestopft, so daß der Zug für Realschüler schon in der 7 abgefahren =
ist,=20
in der die Gymidötzchen schon ein Jahr in der 2. Fremdsprache=20
unterrichtet wurden. Ein Wechsel ist dann gleichbedeutend mit 1x=20
sitzenbleiben.

Angelo"
0,"Sergio Kerver tat kund:


Ich hatte mich schon gefragt, wie lange es dauern würde,
aber mit einer halben Stunde hatte ich nicht gerechnet."
0,"Am Mon, 04. 04. 22 21:27:51 +0200 schrieb Liselotte Noordmann:

Spitzenreiter ist immer noch Fucking in Österreich.

Ciao
Knut
-- 
Erleuchtung
Tausend Birnen / in hundert Hirnen / das möcht' mir gefallen, / ich wünsch' 
es euch allen.
www.ioakvtm-frda.dg, www.uufqyil-ukes.vr/zzzsbmof, www.zsvazbvewyqqt.fh"
0,"Von Dir hat er ihn also.


vG

-- 
Ceterum censeo Popocatepetlum non in Canada sed in Mexico situm esse.

  <http://mgqeveln.vja>"
0,"Meine Quelle spricht von einem Verb strizen = herumlungern, herumstreunen.
Ist dieses Verb dir/ euch bekannt?

-- 
Friedhelm U. Kopf

Erstat ""invalid"" med dk hvis du svarer per e-mail.
Replace ""invalid"" with dk when replying by e-mail."
0,"Ah, WWG. Ich hätte gedacht, wegen französisch-englischer
Vorprägung neigten sie zu ausschließlichem Weizenkonsum, aber da
werden wohl die deutschen, polnischen und ukrainischen
Einwanderer um die großen Seen dagegen gewesen sein.


Sieht gut aus, das Angebot, das Ladenbild auch sehr
vertrauenerweckend.
Wie sind die preislich? Alltags- oder Feiertagsniveau?


Uuah, n, war mir dann doch zu heftig, jaja, haben sich optisch
Mühe gegeben, aber ich will gern Geb�ckbilder sehen, nicht
graphische Filme."
0,"Sorry, habe falsch zitiert, tatsächlich sind es mehrere:
""Das blaue Wellenschlagen des Meeres in den Fenstern, das Hell-dunkel-
hell-Dunkel der Tunnel der Untergimplach und jener Rhythmus des
Frühlings, der sich sogar im Fahrkartenknipsen der Kontrolleure
widerspiegelte.""
Jaja, so poetisch kann es zugehen im Krimi, nämlich dann demnächst in
diesem:
http://nqy.pnswtnk.kz/byjmyzd/q8/t236/s3843"
0,"Sagt das Wörterbuch. 

In freier Wildbahn habe ich allerdings -- außer ein einziges mal
in einer älteren Kipling-Ausgabe (""die Dschungel"") -- noch nie was
anderes als männliches Genus erlebt.

W."
0,"Das ist ein weites Feld. Die Vorstellungen von ORiginalem
und von Urheberrechten waren in verschiedenen Zeiten
unterschiedlich.

cédric"
0,"Was ist das denn für ein Argument? Wenn zur Basis gemacht wird, was die
breite Masse weiß, können wir uns aber flugs von einem Großteil der
Rechtschreib-, Grammatik- und Kommaregeln trennen. Meistens wird ja
trotzdem einigermaßen klar, was gemeint ist.


Wenn jemand 'Standart' schreibt, ist auch klar, was in den meisten
Fällen gemeint ist. Dennoch wird es dann als falsch empfunden.


Ciao
Klara
-- 
Das ist die harte Zeit zwischen Twen-Tours und Seniorenpass!
Keiner gibt Rabatt - keiner der Erbarmen hat!
[Stoppok)]"
0,"Seit dem Alten Fritzen sind 250 Jahre, seit Herbert 200 Jahre vergangen.
Seitdem ist viel gedacht, geredet und geschrieben worden, von großen und
von kleinen Geistern. Das Geschriebene kann man nachlesen und sortieren:
Wer war ganz anderer Ansicht? Wer war eher auf Deiner Seite? Daraus könnte
man dann zwei Namenslisten machen und am Ende nachschauen, was diese
Aufgelisteten denn sonst noch, außer ihrem Urteil über Herbert oder den
Alten Fritzen, hervorgebracht haben. Und wenn Du das alles getan hast,
DANN endlich wirst Du wissen, ""wes Geistes Kind"" Du bist.

j/\a"
0,"Eric Cöller tat kund:


[...]


Ja. Ich würde zwar sagen (Das Hoch) Italo besiegt
(den) Goliath Winter, aber die Überschrift ist sprachlich
völlig in Ordnung.
Wenn man korinthenkacken wollte - aber wer will das
schon ausgerechnet im Usenet -, könnte man ""Italo""
in Gänsefüßchen setzen."
0,"Du meine Güte! ""Das isch doch ghupft wie gschprunge!""


Nein, wenn du das _so_ gemeint hast und in diesem Sinne dann eben so
geschrieben hättest: 

   ""... hatten die Nazis ihm damals ja soeben gezeigt"",
                         *** ^^^^^^ ^^ ^^^^^^
dann wäre das nicht falsch gewesen. 

Ich hoffe doch sehr, dass dir der Unterschied jetzt auffällt.


Das habe ich so aber nicht gesagt. 
Ich wiederhole, was hierzublatt (s. ganz oben) schon dasteht: Ich hatte
nur diesen einen, ganz konkreten Satz dort kritisiert.
-- 
Elisabeth Sigl"
0,"Wenn man L1 und L2 sagt, dann merkts keiner.

Vincent"
